"path","bytes","has_main","has_pandas","has_polars","has_duckdb","has_pyarrow","has_pdf","has_ocr","preview"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWEquityEngine.py","108742","True","False","False","False","False","False","False","#!/usr/bin/env python3
# -*- coding: utf-8 -*-
""""""
================================================================================
  VDF_MDL001_TWEquityEngine.py
================================================================================
  VERITAS DATA FRAMEWORK - MDL001  TW Equity Engine (Full-Market)
  Version    : 17.0.0   |   Module ID : VDF-MDL001-EQT-001
  Asset ID   : VDF-MDL001-CLS-001
  Policy     : 功能只增不減 · append-only · SSOT · LL-compliant
  Lineage    : v16 (smart_tw_system) → "
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWUniverseVerify.py","26227","True","True","False","False","True","False","False","#!/usr/bin/env python3
# -*- coding: utf-8 -*-
r""""""
================================================================================
  VDF_MDL001_TWUniverse_Verify.py
================================================================================
  VERITAS DATA FRAMEWORK · MDL001 補助
  Version    : 1.0.0   |   Module ID : VDF-MDL001-VRF-001

  目的:
    擷取台灣個股 (TWSE 上市 + TPEX 上櫃) 全清單,
    套用 SSOT 鎖定的 TW_TICKER_REGEX,
    驗證 TWSE / TPEX 個別數量, 並輸出可給 MDL001 主引擎使用的 universe 檔.

  SSOT 鎖定 regex (USER L"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL002_YFinanceFetchingEngine.py","85299","True","True","False","False","True","False","False","#!/usr/bin/env python3
# -*- coding: utf-8 -*-
""""""
================================================================================
  VDF_MDL002_YFinanceFetchingEngine.py
================================================================================
  VERITAS DATA FRAMEWORK - MDL002  yfinance Universal Fetching Engine (Full)
  Version    : 17.0.0   |   Module ID : VDF-MDL002-YFE-001
  Asset ID   : VDF-MDL002-CLS-001
  Policy     : 功能只增不減 · append-only · SSOT · LL-compliant
  Lineage    : yfina"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL003_SentimentMacroEngine.py","73800","True","True","False","True","True","False","False","#!/usr/bin/env python3
# -*- coding: utf-8 -*-
""""""
================================================================================
  VDF_MDL003_SentimentMacroEngine.py
================================================================================
  VERITAS DATA FRAMEWORK - MDL003  Sentiment + Macro Integration Engine
  Version    : 1.0.0   |   Module ID : VDF-MDL003-SME-001
  Asset ID   : VDF-MDL003-CLS-001
  Policy     : 功能只增不減 · append-only · SSOT · LL-compliant
  Lineage    : VRN_MDL013_AK"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL004_TWFullMarketEngine.py","47065","True","True","False","True","True","False","False","#!/usr/bin/env python3
# -*- coding: utf-8 -*-
r""""""
================================================================================
  VDF_MDL004_TWFullMarketEngine.py
================================================================================
  VERITAS DATA FRAMEWORK - MDL004  TW Full-Market Equity Engine (v2 升級)
  Version    : 2.0.0   |   Module ID : VDF-MDL004-FME-001
  Asset ID   : VDF-MDL004-CLS-001
  Policy     : 功能只增不減 · SSOT TW_TICKER_REGEX 鎖定 · 參考 VRN 多源 fallback

ROLE
============"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL005_TWStockFilter.py","45762","True","True","False","True","True","False","False","#!/usr/bin/env python3
# -*- coding: utf-8 -*-
r""""""
================================================================================
  VDF_MDL005_TWStockFilter.py
================================================================================
  VERITAS DATA FRAMEWORK · MDL005  TW Stock Filter + Consensus Aggregator
  Version    : 1.0.0   |   Module ID : VDF-MDL005-FLT-001
  Asset ID   : VDF-MDL005-CLS-001
  Policy     : 功能只增不減 · append-only · SSOT · LL-compliant

ROLE
=========================="
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL006_FinancialModel.py","67390","True","True","False","True","True","False","False","#!/usr/bin/env python3
# -*- coding: utf-8 -*-
r""""""
================================================================================
  VDF_MDL006_FinancialModel.py
================================================================================
  VERITAS DATA FRAMEWORK · MDL006  Financial Model + Valuation Engine
  Version    : 1.0.0   |   Module ID : VDF-MDL006-FM-001
  Asset ID   : VDF-MDL006-CLS-001
  Policy     : 功能只增不減 · append-only · SSOT · LL-compliant

ROLE
=============================="
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL007_SSOTResolver.py","54262","True","True","False","False","False","False","False","#!/usr/bin/env python3
# -*- coding: utf-8 -*-
r""""""
================================================================================
  VDF_MDL007_SSOTResolver.py
================================================================================
  VERITAS DATA FRAMEWORK - MDL007  SSOT-Driven Multi-Source Ticker Resolver
  Version    : 1.0.0   |   Module ID : VDF-MDL007-RES-001
  Asset ID   : VDF-MDL007-CLS-001
  Policy     : SSOT regex 鎖定 · 多源 union · 個股全欄位解析

ROLE
================================="
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL101_OutputManager.py","14620","True","True","False","True","True","False","False","#!/usr/bin/env python3
# -*- coding: utf-8 -*-
r""""""
================================================================================
  VDF_OutputManager.py
================================================================================
  VERITAS DATA FRAMEWORK · 共用多格式輸出函式庫
  Version    : 1.0.0   |   Module ID : VDF-OUT-CORE-001
  Asset ID   : VDF-OUT-CLS-001
  Policy     : SSOT for output · 所有 VDF 模組 import 使用

ROLE
==============================================================================="
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL102_FormatUpgrader.py","15595","True","True","False","False","False","False","False","#!/usr/bin/env python3
# -*- coding: utf-8 -*-
r""""""
================================================================================
  VDF_MDL102_FormatUpgrader.py
================================================================================
  VERITAS DATA FRAMEWORK · 多格式 Retrofit Upgrader
  Version    : 1.0.0   |   Module ID : VDF-UPG-001

ROLE
================================================================================
  把任何 VDF 模組的既有 Parquet / CSV 輸出, 用 VDF_MDL101_OutputManager 重新處理:
 "
