"Time","Round","Project","Lane","Stage","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"2026-06-11T12:14:01.184+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","TEST_ONLY","db_write","false","This smoke test never writes DATABASE directly.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-11T12:14:01.185+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","TEST_ONLY","canonical_merge","false","This smoke test never canonical-merges directly.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_SMOKE_TEST_v02866_20260611_121401"
"2026-06-11T12:14:01.185+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","TEST_ONLY","stop_process","false","Timeout will not kill child process. PID is reported for manual review.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_SMOKE_TEST_v02866_20260611_121401"
"2026-06-11T12:14:01.190+08:00","Round0","VIA","CONTROL_PLANE","POINTER","Active Pointer","OK_FOUND","LOW","PARALLEL_SAFE","P0","CHECK_ONLY","status","ACTIVATION_USER_TEST_READY","Active pointer found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
"2026-06-11T12:14:01.192+08:00","Round1","VIA","VALIDATION","TARGET","Invoke-VIA-ALL.ps1 Exists","OK_FOUND","LOW","SEQUENTIAL_REQUIRED","P0","TEST_ONLY","exists","true","Target entry exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T12:14:01.279+08:00","Round1","VIA","VALIDATION","AST_PARSE","Invoke-VIA-ALL.ps1 AST Parse","OK_PARSE","LOW","SEQUENTIAL_REQUIRED","P0","TEST_ONLY","parse_errors","0","Target parses cleanly.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T12:14:01.304+08:00","Round1","VIA","RISK","EXEC_RISK","Forbidden Command AST Check","OK_NONE_FOUND","LOW","SEQUENTIAL_REQUIRED","P0","TEST_ONLY","forbidden","0","No forbidden executable command remains.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T12:14:01.307+08:00","Round2","VIA","SMOKE_TEST","PRE_GATE","Smoke Test Pre-Gate","OK_ALLOWED","LOW","SEQUENTIAL_GATED","P0","SMOKE_TEST","allowed","true","Parse clean and no forbidden command. Smoke test allowed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T12:15:31.349+08:00","Round2","VIA","SMOKE_TEST","EXECUTE","Invoke-VIA-ALL.ps1 Smoke Test","WARN_SMOKE_TIMEOUT_NO_STOP","MEDIUM","SEQUENTIAL_GATED","P0","SMOKE_TEST","exit_code","","Smoke test timed out. Process was not killed by policy. Review PID manually.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T12:15:31.352+08:00","Round3","VIA","USER_TEST","GATE","Activation Smoke Gate","OK_PLAN_CREATED","MEDIUM","SEQUENTIAL_GATED","P0","PLAN_ONLY","status","ACTIVATION_SMOKE_READY_WITH_REVIEW","Activation smoke gate created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_SMOKE_TEST_v02866_20260611_121401"
"2026-06-11T12:15:31.403+08:00","Round3","VIA","CONSOLIDATE","HTML_REPORT","HTML UI Matrix Report","OK_CREATED","LOW","PARALLEL_SAFE","P0","REPORT_ONLY","html","created","HTML report created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_SMOKE_TEST_v02866_20260611_121401\report\VIA_ActivationSmokeTest_Report_v02866.html"
